"The order status cannot be changed to packed","The order status cannot be changed to packed"
"There are no printable documents related to selected orders.","There are no printable documents related to selected orders."
"Can't print invoice. please try again.","Can't print invoice. please try again."
"Order Status has been updated successfully.","Order Status has been updated successfully."
"Something went wrong while update order status.","Something went wrong while update order status."
"Cannot Generate shipment.","Cannot Generate shipment."
"We can't save the shipment right now.","We can't save the shipment right now."
"We cannot create an empty shipment.","We cannot create an empty shipment."
"Negative or decimal quantities are not allowed for shipment.","Negative or decimal quantities are not allowed for shipment."
"Shipment has been generated successfully.","Shipment has been generated successfully."
"Shipping label has been created successfully.","Shipping label has been created successfully."
"An error occurred while creating shipping label.","An error occurred while creating shipping label."
"Cannot save shipment.","Cannot save shipment."
"Cannot do shipment for the order separately from invoice.","Cannot do shipment for the order separately from invoice."
"Cannot do shipment for the order.","Cannot do shipment for the order."
--Select--,--Select--
"Guidelines - Shipping Method","Guidelines - Shipping Method"
"Add New Matrix Rate","Add New Matrix Rate"
"The Item has been deleted.","The Item has been deleted."
"We can't find a Item to delete.","We can't find a Item to delete."
"Country Code","Country Code"
"State/Region Code","State/Region Code"
City,City
"Zip/Postal Code From","Zip/Postal Code From"
"Zip/Postal Code To","Zip/Postal Code To"
condition_from,condition_from
condition_to,condition_to
"Shipping Price","Shipping Price"
"Shipping Method ID","Shipping Method ID"
"Shipping Method Name","Shipping Method Name"
"No file has been selected. Please select file.","No file has been selected. Please select file."
"The uploaded file is not valid.","The uploaded file is not valid."
"Duplicate Row(s) #%1 (Country and City combination must be unique)","Duplicate Row(s) #%1 (Country and City combination must be unique)"
"Csv Field not match.","Csv Field not match."
"You saved this matrix rates.","You saved this matrix rates."
"Invalid file formate. Upload only csv file.","Invalid file formate. Upload only csv file."
"%1 value cannot be blank on row #%2","%1 value cannot be blank on row #%2"
"Duplicate Row #%1 (Country ""%2"" and City ""%3"")","Duplicate Row #%1 (Country ""%2"" and City ""%3"")"
"Something went wrong while saving the matrix rates.","Something went wrong while saving the matrix rates."
"Shipping Rates","Shipping Rates"
"This shipping rate already exists.","This shipping rate already exists."
"Duplicate (Country ""%1"", City ""%2"", Category Id ""%3"" and Price ""%4"")","Duplicate (Country ""%1"", City ""%2"", Category Id ""%3"" and Price ""%4"")"
"Duplicate (Country ""%1"", City ""%2"", and Price ""%3"")","Duplicate (Country ""%1"", City ""%2"", and Price ""%3"")"
"Shipping rate has been successfully saved.","Shipping rate has been successfully saved."
"Requested store is not found","Requested store is not found"
"Requested store is inactive","Requested store is inactive"
"The store that was requested wasn't found. Verify the store and try again.","The store that was requested wasn't found. Verify the store and try again."
"We can't get the order instance right now.","We can't get the order instance right now."
"Select All ","Select All "
Revenue,Revenue
Quantity,Quantity
"Contact Us","Contact Us"
"Please enter query and query description.","Please enter query and query description."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Thanks for contacting us with your comments and questions. We'll respond to you very soon."
"Your password reset link has expired.","Your password reset link has expired."
Dashboard,Dashboard
"Enter a valid email address.","Enter a valid email address."
"Sorry, we didn't found any account associated with '%1'.","Sorry, we didn't found any account associated with '%1'."
"We're unable to send the password reset email.","We're unable to send the password reset email."
"Please enter your email.","Please enter your email."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","If there is an account associated with %1 you will receive an email with a link to reset your password."
